index,header,contents,type,page_url,is_howto,char_count,word_count,tld
19,Books,"- [Effective Data Science
    Infrastructure](https://www.manning.com/books/effective-data-science-infrastructure):
    Learn to design and develop the full infrastructure stack for data science using
    Metaflow.",H2,https://docs.metaflow.org/introduction/metaflow-resources#books,False,214,28,https://docs.metaflow.org
20,Videos,"- [Metaflow on YouTube](https://www.youtube.com/results?search_query=metaflow+ml).
  - You can start with [this recent
    overview](https://www.youtube.com/watch?v=gZnhSHvhuFQ).",H2,https://docs.metaflow.org/introduction/metaflow-resources#videos,False,178,16,https://docs.metaflow.org
21,Blogs,"- 23andMe: [Developing safe and reliable ML products at
    23andMe](https://medium.com/23andme-engineering/machine-learning-eeee69d40736)
  - AWS: [Getting started with the open source data science tool Metaflow on
    AWS](https://aws.amazon.com/blogs/opensource/getting-started-with-the-open-source-data-science-tool-metaflow-on-aws/)
  - CNN: [Accelerating ML within
    CNN](https://medium.com/cnn-digital/accelerating-ml-within-cnn-983f6b7bd2eb)
  - Latana: [Brand Tracking with Bayesian Statistics and AWS
    Batch](https://aws.amazon.com/blogs/startups/brand-tracking-with-bayesian-statistics-and-aws-batch/)
  - Netflix: [Open-Sourcing Metaflow, a Human-Centric Framework for Data
    Science](https://netflixtechblog.com/open-sourcing-metaflow-a-human-centric-framework-for-data-science-fa72e04a5d9)
  - Netflix: [Unbundling Data Science Workflows with Metaflow and AWS Step
    Functions](https://netflixtechblog.com/unbundling-data-science-workflows-with-metaflow-and-aws-step-functions-d454780c6280)
  - Netflix: [Open-Sourcing a Monitoring GUI for Metaflow, Netflix’s ML
    Platform](https://netflixtechblog.com/open-sourcing-a-monitoring-gui-for-metaflow-75ff465f0d60)
  - Netflix: [Supporting content decision makers with machine
    learning](https://netflixtechblog.com/supporting-content-decision-makers-with-machine-learning-995b7b76006f)
  - Netflix: [Scaling Media Machine Learning at
    Netflix](https://netflixtechblog.com/scaling-media-machine-learning-at-netflix-f19b400243)
  - Outerbounds: [Various articles about Metaflow](https://outerbounds.com/blog/)
  - REA: [Accelerating experimentation with
    MLOps](https://www.rea-group.com/about-us/news-and-insights/blog/accelerating-experimentation-with-mlops/)
  - Realtor.com: [Improving Data Science Processes to Speed Innovation at
    Realtor.com](https://medium.com/realtor-com-innovation-blog/improving-data-science-processes-to-speed-innovation-at-realtor-com-b6b90fa530dc)
  - SAP: [Train your model in SAP AI Core using the Metaflow-Argo
    plugin](https://blogs.sap.com/2022/04/20/train-your-model-in-sap-ai-core-using-the-metaflow-argo-plugin/)
  - Softlandia: [Distributed data science with Metaflow and Dask in Azure Kubernetes
    Service](https://softlandia.fi/en/blog/distributed-data-science-with-metaflow-and-dask)",H2,https://docs.metaflow.org/introduction/metaflow-resources#blogs,False,2313,191,https://docs.metaflow.org
23,1. Modern businesses are eager to utilize data science and ML,"In the past, data scientists and ML engineers had to rely on a medley of point solutions
 and custom systems to build ML and data science applications.
 
 ![Many data science opportunities](/assets/mf-intro-01.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#1-modern-businesses-are-eager-to-utilize-data-science-and-ml,False,214,32,https://docs.metaflow.org
24,2. What is common in DS/ML applications?,"Applications can be built quicker and more robustly if they stand on a common,
 human-friendly foundation. But what should the foundation cover?
 
 ![A solid foundation for all use cases](/assets/mf-intro-02.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#2-what-is-common-in-ds-ml-applications,False,212,30,https://docs.metaflow.org
25,3. All DS/ML applications use data,"**Data** may come in different shapes and sizes and may be loaded from various data
 stores. However, no matter what data is used, accessing and processing it shouldn't be
 too cumbersome.
 
 ![Data](/assets/mf-intro-03.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#3-all-ds-ml-applications-use-data,False,224,33,https://docs.metaflow.org
26,4. DS/ML applications need to perform computation,"Some applications require a tremendous amount of compute power - think computer vision -
 while some do with less. Regardless of the scale, all applications need to perform
 **computation** reliably. Thanks to cloud computing, data scientists and ML engineers
 should be able to utilize elastic compute resources without friction.
 
 ![Compute](/assets/mf-intro-04.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#4-ds-ml-applications-need-to-perform-computation,False,369,51,https://docs.metaflow.org
27,5. DS/ML applications consists of multiple interconnected parts,"Consider an application that loads data, transforms it, trains a bunch of models,
 chooses the best performing one, runs inference, and writes the results to a database.
 Multi-steps workflows like this are a norm in ML. **A workflow orchestrator** is needed
 to make sure all steps get executed in order, on time.
 
 ![Orchestration](/assets/mf-intro-05.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#5-ds-ml-applications-consists-of-multiple-interconnected-parts,False,359,54,https://docs.metaflow.org
28,6. DS/ML applications evolve over time incrementally,"Rarely a real-world application is built and deployed only once. Instead, a typical
 application is built gradually, through contributions by many people. The project needs
 to be tracked, organized, and **versioned**, which enables systematic and continuous
 improvement over time.
 
 ![Versioning](/assets/mf-intro-06.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#6-ds-ml-applications-evolve-over-time-incrementally,False,324,41,https://docs.metaflow.org
29,7. DS/ML applications produce business value in various ways,"To produce real business value, DS/ML applications can't live in a walled garden. They
 must be integrated with the surrounding systems seamlessly: Some applications enhance
 data in a database, some power internal dashboards or microservices, whereas some power
 user-facing products. There are many such ways to **deploy** ML in production. The more
 valuable the application, the more carefully it needs to be operated and monitored as
 well.
 
 ![Deployment](/assets/mf-intro-07.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#7-ds-ml-applications-produce-business-value-in-various-ways,False,487,69,https://docs.metaflow.org
30,8. DS/ML applications should leverage the best tools available,"For many data scientists and ML engineers, the most rewarding part of the project is
 **modeling**. Using their domain knowledge and expertise, the modeler should be able to
 choose the best tool for the job amongst off-the-shelf libraries, such as PyTorch,
 XGBoost, Scikit Learn, and many others. Or, if necessary, they should be able to use a
 wholly custom approach.
 
 ![Modeling](/assets/mf-intro-08.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#8-ds-ml-applications-should-leverage-the-best-tools-available,False,410,62,https://docs.metaflow.org
31,9. Metaflow covers the full stack of DS/ML infrastructure,"Metaflow was originally created at Netflix, motivated by the realization that data
 scientists and ML engineers need help with all these concerns: Any gaps or friction in
 the stack can slow down the project drastically. Thanks to a common foundation provided
 by Metaflow, data scientists can iterate on ideas quickly and deploy them confidently by
 relying on a well-defined architecture and best practices, shared by everyone in the
 team.
 
 ![Full-stack Metaflow](/assets/mf-intro-09.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#9-metaflow-covers-the-full-stack-of-ds-ml-infrastructure,False,493,72,https://docs.metaflow.org
32,"10. Metaflow takes care of the plumbing, so you can focus on the fun parts","Metaflow provides a robust and user-friendly foundation for a wide spectrum of
 data-intensive applications, including most data science and ML use cases. Data
 scientists and ML engineers who know the basics of Python can build their own
 applications, models, and policies on top of it, while Metaflow takes care of the
 low-level infrastructure: data, compute, orchestration, and versioning.
 
 ![Full stack triangles](/assets/mf-intro-10.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#10-metaflow-takes-care-of-the-plumbing-so-you-can-focus-on-the-fun-parts,False,446,62,https://docs.metaflow.org
33,11. Metaflow relies on systems that engineers know and trust,"Metaflow was designed at Netflix to serve the needs of business-critical ML/DS
 applications. It relies on proven and scalable infrastructure which works for small and
 large organizations alike. Metaflow integrates with all the top clouds as well as with
 Kubernetes and systems around them in a responsible manner. It respects the security and
 other policies of your company, making engineering teams happy too.
 
 ![Existing infrastructure](/assets/mf-intro-11.png)",H3,https://docs.metaflow.org/introduction/why-metaflow#11-metaflow-relies-on-systems-that-engineers-know-and-trust,False,469,66,https://docs.metaflow.org
34,12. Metaflow is used by hundreds of innovative companies,"Today, Metaflow powers thousands of ML/DS applications at innovative companies such as
 [Netflix](https://netflixtechblog.com/supporting-content-decision-makers-with-machine-learning-995b7b76006f),
 [CNN](https://medium.com/cnn-digital/accelerating-ml-within-cnn-983f6b7bd2eb),
 [SAP](https://blogs.sap.com/2022/04/20/train-your-model-in-sap-ai-core-using-the-metaflow-argo-plugin/),
 [23andMe](https://medium.com/23andme-engineering/machine-learning-eeee69d40736),
 [Realtor.com](https://medium.com/realtor-com-innovation-blog/improving-data-science-processes-to-speed-innovation-at-realtor-com-b6b90fa530dc),
 [REA](https://www.rea-group.com/about-us/news-and-insights/blog/accelerating-experimentation-with-mlops/),
 [Coveo](https://outerbounds.com/blog/dataops-mlops-reasonable-organizations/),
 [Latana](https://aws.amazon.com/blogs/startups/brand-tracking-with-bayesian-statistics-and-aws-batch/),
 and hundreds of others across industries. Commercial support for Metaflow is provided by
 [Outerbounds](https://outerbounds.com). To hear first-hand experiences from these
 companies and many others, [join the Metaflow Slack](http://slack.outerbounds.co).",H3,https://docs.metaflow.org/introduction/why-metaflow#12-metaflow-is-used-by-hundreds-of-innovative-companies,False,1160,48,https://docs.metaflow.org
35,Release Notes,"Read below how Metaflow has improved over time.
 
 We take backwards compatibility very seriously. In the vast majority of cases, you can
 upgrade Metaflow without expecting changes in your existing code. In the rare cases when
 breaking changes are absolutely necessary, usually, due to bug fixes, you can take a
 look at minor breaking changes below before you upgrade.
 
 :::info
 
 For the most recent release notes, see [release notes on
 Github](https://github.com/Netflix/metaflow/releases)
 
 :::",H1,https://docs.metaflow.org/internals/release-notes#release-notes,False,504,76,https://docs.metaflow.org
37,"[2.6.0 (Apr 25, 2022)](https://github.com/Netflix/metaflow/releases/tag/2.6.0)","The Metaflow 2.6.0 release is a minor release and introduces Metaflow's integration with
 [Kubernetes](https://docs.metaflow.org/scaling/introduction/effortless-scaling-with-kubernetes)
 and [Argo",H2,https://docs.metaflow.org/internals/release-notes#260-apr-25-2022,False,196,16,https://docs.metaflow.org
38,Add capability to launch Metaflow tasks on Kubernetes and schedule Metaflow flows with Argo Workflows.,"This release enables brand new capabilities for [Metaflow on top of
 Kubernetes](https://outerbounds.com/blog/human-centric-data-science-on-kubernetes-with-metaflow/).
 You can now [`run --with
 kubernetes`](https://docs.metaflow.org/scaling/introduction/effortless-scaling-with-kubernetes)
 all or parts of any Metaflow flow on top of _any_ Kubernetes cluster from your
 workstation. To execute your flow asynchronously, you can deploy the flow to Argo
 Workflows (a Kubernetes-native workflow scheduler) with a single command -
 [`argo-workflows
 create`](https://docs.metaflow.org/production/scheduling-metaflow-flows/introduction/scheduling-with-argo-workflows).
 
 To get started, take a look at the [deployment guide for
 Kubernetes](https://outerbounds.com/docs/engineering-welcome/). Your feedback and
 feature requests are highly appreciated! - please reach out to us at
 slack.outerbounds.co
 
 PR #992 addressed issue #50.",H4,https://docs.metaflow.org/internals/release-notes#add-capability-to-launch-metaflow-tasks-on-kubernetes-and-schedule-metaflow-flows-with-argo-workflows,False,933,93,https://docs.metaflow.org
39,Expose `tags` in `current` object.,"Metaflow tags are now available as part of the `current` singleton object.
 
 ```
 @step
 def my_step(self):
     from metaflow import current
     tags = current.tags
     ...
 ```
 
 PR #1019 fixed issue #1007.",H4,https://docs.metaflow.org/internals/release-notes#expose-tags-in-current-object,False,212,44,https://docs.metaflow.org
45,"[2.4.9 (Jan 18, 2022)](https://github.com/Netflix/metaflow/releases/tag/2.4.9)","The Metaflow 2.4.9 release is a patch release.
 
 * Improvements
   * Store information about the DAG being executed in an artifact. This will allow to
     render execution DAG in a `@card` (
     [#822](https://github.com/Netflix/metaflow/pull/822) )
 * Bug Fixes
   * Fixed cli command when task_id provided (
     [#890](https://github.com/Netflix/metaflow/pull/890) )
   * Fix with metadata syncing on AWS Batch when running without remote metadata service
     ( [#902](https://github.com/Netflix/metaflow/pull/902) )
   * Fix default resource math. Previously we sometimes computed vCPU and memory settings
     incorrectly, in cases when they were set to something less than the default value (
     [#810](https://github.com/Netflix/metaflow/pull/810) , fixes
     [#467](https://github.com/Netflix/metaflow/issues/467) )",H2,https://docs.metaflow.org/internals/release-notes#249-jan-18-2022,False,830,134,https://docs.metaflow.org
52,Add default image config option as described in [489](https://github.com/Netflix/metaflow/issues/489) ([813](https://github.com/Netflix/metaflow/pull/813)),"We're moving to a more consistent scheme for naming options related to docker images.
 You can read the details in [#489](https://github.com/Netflix/metaflow/issues/489), but
 this release introduces new config options `DEFAULT_CONTAINER_IMAGE` and
 `DEFAULT_CONTAINER_REGISTRY` that can be used to specify docker image in addition to
 plugin-specific options like `KUBERNETES_CONTAINER_IMAGE`",H4,https://docs.metaflow.org/internals/release-notes#add-default-image-config-option-as-described-in-489,False,393,46,https://docs.metaflow.org
53,Read default k8s namespace from config ([823](https://github.com/Netflix/metaflow/pull/823)),"This adds a new configuration option to set the default namespace for the Kubernetes
 plugin",H4,https://docs.metaflow.org/internals/release-notes#read-default-k8s-namespace-from-config-823,False,92,15,https://docs.metaflow.org
56,"Fix a race condition when accessing artifacts of a running task ([789](https://github.com/Netflix/metaflow/pull/789)) <a href=""user-content-789"" id=""user-content-789""></a>","When accessing artifacts of a running task using `Task(...).artifacts`, a race condition
 existed and the call could return a difficult to understand error message. This release
 fixes this issue and making this call will either return the artifacts present or no
 artifacts at all if none are present yet.",H4,https://docs.metaflow.org/internals/release-notes#fix-a-race-condition-when-accessing-artifacts-of-a-running-task-789,False,306,49,https://docs.metaflow.org
57,"Fix an issue when using a combination of `@catch` and `@retry` decorators ([776](https://github.com/Netflix/metaflow/pull/776)) <a href=""user-content-776"" id=""user-content-776""></a>","A step as below:
 
 ```python
 @retry(times=2)
 @catch(var='exception')
 @step
 def my_step(self):
     raise ValueError()
 ```
 
 would not retry 2 times as expected but instead the exception would be caught the first
 time around. This release fixes this issue and the step will now execute a total of 3
 times and the exception will be caught on the third time.",H4,https://docs.metaflow.org/internals/release-notes#fix-an-issue-when-using-a-combination-of-catch-and-retry-decorators-776,False,364,63,https://docs.metaflow.org
58,"Upgrade Pandas in tutorials ([707](https://github.com/Netflix/metaflow/pull/707)) <a href=""user-content-707"" id=""user-content-707""></a>","On macOS Big Sur, certain tutorials were broken due to using an older version of Pandas.
 This updates the tutorials to use 1.3.3 to solve this issue",H4,https://docs.metaflow.org/internals/release-notes#upgrade-pandas-in-tutorials-707,False,149,27,https://docs.metaflow.org
61,Fix a bug with accessing legacy logs through `metaflow.client` ([779](https://github.com/Netflix/metaflow/pull/779)),"Metaflow `v2.4.1` introduced a bug (due to a typo) in accessing legacy task logs through
 `metaflow.client`
 
 ```
 Task(""pathspec/to/task"").stdout
 ```
 
 This release fixes this issue.",H4,https://docs.metaflow.org/internals/release-notes#fix-a-bug-with-accessing-legacy-logs-through-metaflowclient-779,False,186,26,https://docs.metaflow.org
62,Fix a bug with task datastore access when no task attempt has been recorded ([780](https://github.com/Netflix/metaflow/pull/780)),"A subtle bug was introduced in Metaflow `2.4.0` where the task datastore access fails
 when no task attempt was recorded. This release fixes this issue.",H4,https://docs.metaflow.org/internals/release-notes#fix-a-bug-with-task-datastore-access-when-no-task-attempt-has-been-recorded-780,False,152,25,https://docs.metaflow.org
65,Expose non-pythonic dependencies inside the conda environment on AWS Batch ([735](https://github.com/Netflix/metaflow/pull/735)),"Prior to this release, non-pythonic dependencies in a conda environment were not
 automatically visible to a Metaflow task executing on AWS Batch (see
 [#734](https://github.com/Netflix/metaflow/issues/734)) (they were available for tasks
 that were executed locally). For example
 
 ```python
 import os
 from metaflow import FlowSpec, step, conda, conda_base, batch
 
 class TestFlow(FlowSpec):
 
     @step
     def start(self):
         self.next(self.use_node)
 
     @batch
     @conda(libraries={""nodejs"": "">=16.0.0""})
     @step
     def use_node(self):
         print(os.system(""node --version""))
         self.next(self.end)
 
     @step
     def end(self):
         pass
 
 
 if __name__ == ""__main__"":
     TestFlow()
 ```
 
 would print an error. This release fixes the issue with the incorrect `PATH`
 configuration.",H4,https://docs.metaflow.org/internals/release-notes#expose-non-pythonic-dependencies-inside-the-conda-environment-on-aws-batch-735,False,830,161,https://docs.metaflow.org
67,Introduce size properties for artifacts and logs in metaflow.client ([752](https://github.com/Netflix/metaflow/pull/752)),"This release exposes size properties for artifacts and logs (stderr and stdout) in
 metaflow.client. These properties are relied upon by the Metaflow UI ([open-sourcing
 soon!](https://www.eventbrite.fi/e/netflix-data-science-metaflow-gui-pre-release-meetup-tickets-185523605097)).",H4,https://docs.metaflow.org/internals/release-notes#introduce-size-properties-for-artifacts-and-logs-in-metaflowclient-752,False,281,25,https://docs.metaflow.org
68,Expose attempt level task properties ([725](https://github.com/Netflix/metaflow/pull/725)),"In addition to the above mentioned properties, now users of Metaflow can access attempt
 specific Task metadata using the client
 
 ```
 Task('42/start/452', attempt=1)
 ```",H4,https://docs.metaflow.org/internals/release-notes#expose-attempt-level-task-properties-725,False,173,25,https://docs.metaflow.org
69,Introduce @kubernetes decorator for launching Metaflow tasks on Kubernetes ([644](https://github.com/Netflix/metaflow/pull/644)),"This release marks the alpha launch of `@kubernetes` decorator that allows farming off
 Metaflow tasks onto Kubernetes. The functionality works in exactly the same manner as
 [`@batch`](/scaling/remote-tasks/introduction) -
 
 ```python
 from metaflow import FlowSpec, step, resources
 
 class BigSum(FlowSpec):
 
     @resources(memory=60000, cpu=1)
     @step
     def start(self):
         import numpy
         import time
         big_matrix = numpy.random.ranf((80000, 80000))
         t = time.time()
         self.sum = numpy.sum(big_matrix)
         self.took = time.time() - t
         self.next(self.end)
 
     @step
     def end(self):
         print(""The sum is %f."" % self.sum)
         print(""Computing it took %dms."" % (self.took * 1000))
 
 if __name__ == '__main__':
     BigSum()
 ```
 
 ```
 python big_sum.py run --with kubernetes
 ```
 
 will run all steps of this workflow on your existing EKS cluster (which can be
 configured with `metaflow configure eks`) and provides all the goodness of Metaflow!
 
 To get started follow [this
 guide](https://docs.google.com/document/d/1L_4Fws1KoGg_dtSTaRlAcREX1F8FPS4ZaYk7eJyu_jA/edit)!
 We would appreciate your early feedback at
 [http://slack.outerbounds.co](htps://slack.outerbounds.co).",H4,https://docs.metaflow.org/internals/release-notes#introduce-kubernetes-decorator-for-launching-metaflow-tasks-on-kubernetes-644,False,1256,237,https://docs.metaflow.org
70,"[2.4.0 (Oct 4th, 2021)](https://github.com/Netflix/metaflow/releases/tag/2.4.0)",The Metaflow 2.4.0 release is a minor release and includes a _breaking change_,H2,https://docs.metaflow.org/internals/release-notes#240-oct-4th-2021,False,78,13,https://docs.metaflow.org
72,Change return type of created_at/finished_at in the client ([692](https://github.com/Netflix/metaflow/pull/692)),"Prior to this release, the return type for `created_at` and `finished_at` properties in
 the Client API was a timestamp string. This release changes this to a `datetime` object,
 as the old behavior is considered an unintentional mis-feature (see below for details).
 
 _How to retain the old behavior_
 
 To keep the old behavior, append an explicit string conversion,
 `.strftime('%Y-%m-%dT%H:%M:%SZ')`, to the `created_at` and `finished_at` calls, e.g.
 
 ```
 run.created_at.strftime('%Y-%m-%dT%H:%M:%SZ')
 ```
 
 _Background_
 
 The first versions of Metaflow (internal to Netflix) returned a `datetime` object in all
 calls dealing with timestamps in the Client API to make it easier to perform operations
 between timestamps. Unintentionally, the return type was changed to string in the
 initial open-source release. This release introduces a number of internal changes,
 removing all remaining discrepancies between the legacy version of Metaflow that was
 used inside Netflix and the open-source version.
 
 The timestamp change is the only change affecting the user-facing API. While Metaflow
 continues to make a strong promise of backwards compatibility of user-facing features
 and APIs, the benefits of one-time unification outweigh the cost of this relatively
 minor breaking change.",H4,https://docs.metaflow.org/internals/release-notes#change-return-type-of-created-at-finished-at-in-the-client-692,False,1299,187,https://docs.metaflow.org
74,Better error messages in case of a Conda issue ([706](https://github.com/Netflix/metaflow/pull/706)),"Conda errors printed to `stderr` were not surfaced to the user; this release addresses
 this issue.",H4,https://docs.metaflow.org/internals/release-notes#better-error-messages-in-case-of-a-conda-issue-706,False,99,16,https://docs.metaflow.org
75,Fix error message in Metadata service ([712](https://github.com/Netflix/metaflow/pull/712)),"The code responsible for printing error messages from the metadata service had a problem
 that could cause it to be unable to print the correct error message and would instead
 raise another error that obfuscated the initial error. This release addresses this issue
 and errors from the metadata service are now properly printed.",H4,https://docs.metaflow.org/internals/release-notes#fix-error-message-in-metadata-service-712,False,329,53,https://docs.metaflow.org
